"Single Spectrum_017_Spec.Data 1 1.10             "
"x       y           "
"[m<sup>-1</sup>]     [CCD cts]         "
83185.676               3.49486159418028         
83370.86                4.10061809136453         
83555.995               5.90633307330784         
83741.08                2.012036509087           
83926.115               6.71776839870208         
84111.101               5.32351877307635         
84296.036               4.02919757036306         
84480.922               2.534914852409           
84665.758               4.34067058829088         
84850.545               5.74635480893177         
85035.281               4.85209745248536         
85219.968               1.65779858079802         
85404.605               4.06347816294651         
85589.193               3.96920622985424         
85773.731               2.67492275059782         
85958.219               3.58059772517718         
86142.657               3.48632115359251         
86327.046               3.49202306676694         
86511.386               3.99772346470052         
86695.676               4.30341231646995         
86879.916               2.30910962207526         
87064.107               3.91483541243978         
87248.248               -0.0794703433598916      
87432.34                3.22621238559956         
87616.383               3.9319135993182          
87800.375               6.23759323594938         
87984.319               4.14325138826295         
88168.213               4.04895799441249         
88352.058               4.95466308532117         
88535.853               2.56032663006564         
88719.599               3.0660086595693          
88903.296               0.571689173832101        
89086.943               2.97738814193081         
89270.541               4.08304559478859         
89454.09                3.48874153240559         
89637.589               5.89438592385836         
89821.039               3.10006880007035         
90004.44                2.90573016104146         
90187.792               2.91140000677173         
90371.094               4.71705830633784         
90554.348               2.32275512158647         
90737.552               4.72839039067084         
90920.707               4.33408414451448         
91103.813               3.23971638311715         
91286.87                2.74537710647902         
91469.877               0.551076283676839        
91652.836               -0.443266023442992       
91835.746               4.3623801541963          
92018.606               3.86803478567148         
92201.418               1.77365793282904         
92384.18                2.07934953382259         
92566.894               5.48496965049844         
92749.558               1.79060822101019         
92932.174               2.59629530720447         
93114.741               2.10194087815782         
93297.259               1.9075749338703          
93479.727               3.91321744341866         
93662.147               3.61886846864947         
93844.519               4.72448800956265         
94026.841               3.8301060043117          
94209.115               1.33574251474321         
94391.339               3.04138747901061         
94573.515               2.3470109589604          
94755.642               2.35264292366936         
94937.721               3.05828340406077         
95119.751               2.96393236921135         
95301.732               4.36952981912098         
95483.664               2.57516575378983         
95665.547               1.18082017321787         
95847.382               1.18644310832828         
96029.169               2.9920545591211          
96210.906               2.19768446374982         
96392.596               2.50329291498422         
96574.236               -1.09112017994556        
96755.828               5.01452524080721         
96937.371               2.2201491463191          
97118.866               1.9257215675133          
97300.312               0.131342473466763        
97481.71                1.13695189510263         
97663.06                0.242589832420991        
97844.36                1.64816622357509         
98025.613               1.05379116133501         
98206.817               -0.640615416145986       
98387.972               2.86498649113218         
98569.08                3.07059694501609         
98750.138               0.976165852735778        
98931.149               0.88178330706128         
99112.111               1.88737924614589         
99293.025               3.29299370091297         
99473.89                1.09857664043914         
99654.707               -1.29585190435229        
99835.476               1.40974806653878         
100016.2                3.21532664588209         
100196.87               2.02090355536813         
100377.49               1.12651891869011         
100558.07               1.93209304508071         
100738.6                1.43767562530719         
100919.08               0.743246659369517        
101099.51               -0.751173852732272       
